ID,Year,Department (e.g. Computer Engineering),Gender,Grade (GPAX),"Have you ever did ""Data Science"" before?","Have you ever used ""Web Scraping” before?","Have you ever did ""Machine Learning"" before?","Have you ever did ""Business Intelligence (BI)"" before?",What is your level of Python skill?,What is your level of Pandas skill?,What is your level of Scikit-learn skill?,What is your level of Power BI skill?,What is your level of Tableau skill?,What is your level of SQL skill?,What is your level of BeautifulSoup skill?,What is your level of Spark skill?,What is your level of Hypothesis Test (including Statistical) skill?,What is your level of Linux skill?,Have you ever taken class of Aj.Ekapol (Pattern Recognition) before?,Have you ever taken class of Machine Learning before?,Have you ever taken class of Neural Networks before?,"Have you ever taken class of Aj.Andrew Ng or online course about Machine Learning, Deep Learning, NLP or something like this before?"
1,3,Computer Engineer,Male,2.50-2.99,Maybe,No,Yes,No,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,Yes,Yes,No,Yes
2,4,Computer Engineering,Male,3.00-3.49,No,No,No,No,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,No,No,No,No
3,4,Computer Engineering,Male,2.00-2.49,No,No,No,No,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,No,No,No,No
4,4,Computer Engineering,Male,3.00-3.49,Yes,No,Yes,Yes,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Yes,Yes,No,No
5,4,Computer Engineering ,Male,2.50-2.99,Yes,No,Yes,Yes,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,Yes,No,No
6,4,Computer Engineering,Male,2.50-2.99,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
7,3,Computer Engineering,Male,3.50-4.00,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,Intermediate,No,No,No,No
8,3,Computer Engineering,Male,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Intermediate,No,No,No,No
9,4,Computer Engineering,Male,3.00-3.49,No,No,Maybe,Yes,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Intermediate,No,No,No,No
10,4,Computer Engineering,Female,2.50-2.99,No,No,Yes,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,Yes,No,Yes
11,4,Computer Engineering,Male,2.00-2.49,No,No,No,No,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,No,No,No
12,4,Computer Engineering,Male,3.50-4.00,Yes,Yes,Yes,Maybe,Intermediate,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,Yes,Yes,Yes
13,3,Computer Engineering,Male,3.00-3.49,Maybe,No,Yes,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Yes,No,No,No
14,3,Computer Engineering,Female,2.50-2.99,Maybe,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,No,No,No
15,3,Computer Engineering,Male,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
16,4,Computer Engineering,Male,2.00-2.49,Maybe,Maybe,Maybe,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,No,No,No,No
17,3,Computer Engineering,Female,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
18,4,Computer Engineering,Male,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
19,3,Computer Engineering,Male,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,No,No,No,No
20,3,Computer Engineering,Female,3.50-4.00,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Yes,No,No,Yes
21,3,Computer Engineering,Male,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Intermediate,No,No,No,No
22,3,Computer Engineering,Female,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
23,4,Computer Engineering,Female,3.00-3.49,Yes,No,Yes,Yes,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Yes,Yes,Yes,No
24,3,Computer Engineering,Male,3.00-3.49,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,Beginner,No,No,No,No
25,3,Computer Engineering,Male,3.00-3.49,No,No,No,No,Expert,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
26,4,Computer Engineering,Female,3.50-4.00,Yes,No,Yes,Yes,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Yes,Yes,Yes,Yes
27,3,Computer Engineering,Male,3.00-3.49,Maybe,No,Yes,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Beginner,No,No,No,No
28,4,Computer Engineering,Male,3.00-3.49,Yes,Yes,Yes,Yes,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Yes,Yes,Yes,Yes
29,4,Computer Engineering,Male,3.00-3.49,Yes,Yes,Yes,No,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,Yes,Yes,Yes,No
30,4,Computer Engineering,Male,2.50-2.99,No,No,Yes,Yes,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Yes,Yes,Yes,Yes
31,4,Computer Engineering,Male,3.50-4.00,Yes,Yes,Yes,Yes,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Yes,Yes,Yes,Yes
32,4,Computer Engineering,Male,2.50-2.99,No,No,No,No,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,No,No,No,No
33,3,Computer Engineering,Male,3.50-4.00,No,No,No,No,Expert,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Beginner,No,No,No,No
34,3,Computer Engineering,Male,3.00-3.49,No,No,Yes,No,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Yes,No,No,No
35,3,Computer Engineering,Female,3.50-4.00,No,No,No,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,No,No,No
36,3,Computer Engineering,Male,2.50-2.99,No,No,Yes,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Yes,No,No,No
37,4,Computer Engineering,Male,3.50-4.00,Yes,Yes,Yes,Yes,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Intermediate,Beginner,Beginner,Intermediate,Yes,Yes,Yes,Yes
38,4,Computer Engineering,Male,3.50-4.00,Yes,No,Yes,No,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Yes,Yes,Yes,Yes
39,4,Computer Engineering,Male,2.00-2.49,Maybe,No,Maybe,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,No,No,No
40,4,Computer Engineering,Male,3.50-4.00,Maybe,No,Maybe,Maybe,Intermediate,Beginner,Beginner,Beginner,Intermediate,Intermediate,Beginner,Beginner,Beginner,Beginner,No,No,No,No
41,4,Computer Engineering,Male,3.00-3.49,Maybe,No,Maybe,No,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,No,No,No
42,4,Computer Engineering,Male,3.00-3.49,Maybe,No,Maybe,No,Intermediate,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,No,No,No,No
